1572 MEMORY LEAK DETECTED!
At address (000001F61D8F36B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F3730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F39B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F3FB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F45B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F4C30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F5030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F5230), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F5430), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F55B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F5630), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F5AB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F6030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F6130), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F6830), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F6B30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F6C30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001F61D8F6CB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D8F6F30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001F61D90FA50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001F61D90FAF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001F61DA07DB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 61
At address (000001F61DA519F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F61DA51B40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F61DA51C20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
