5533 MEMORY LEAK DETECTED!
At address (0000029500B6A610), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A680), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A6F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A7D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A840), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A8B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A920), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A990), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AA00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AA70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AAE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AB50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6ABC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AC30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6ACA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AD10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AD80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6ADF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AE60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AED0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6AF40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EC7D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EC840), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EC990), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ECA70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (00000295025ECBC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ECC30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ECFB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED100), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED1E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED250), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED2C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED4F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED5D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED720), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED800), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED950), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025ED9C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDB80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDBF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDCD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDD40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDE20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDE90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDF70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EDFE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE050), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE130), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE280), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE2F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE4B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE590), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE600), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295025EE6E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (00000295026309B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502630A10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502630A70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029502630AD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502630B30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029502630B90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029502630BF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029502630C50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029502630CB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502630D10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502630D70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029502630DD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029502630E30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029502630EF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029502630F50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502630FB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029502631010), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502631070), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (00000295026310D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029502631130), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502631190), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (00000295026311F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029502631250), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (00000295026312B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
