13953 MEMORY LEAK DETECTED!
At address (000001679859D520), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D560), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D5A0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D5E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D620), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798617060), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617120), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986172A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617360), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617420), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986174E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986175A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617660), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617720), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986177E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986178A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617AE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617BA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617C60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617D20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617DE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617EA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798617F60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
