2933 MEMORY LEAK(S) DETECTED!
At address (000002A6C43A6310), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002A6C43A6370), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002A6C43A63D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002A6C43A6430), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002A6C43A6490), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002A6C43A64F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002A6C43A6550), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002A6C43A65B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002A6C43A6610), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002A6C43A6670), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002A6C43A66D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002A6C43A6730), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002A6C43A6790), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002A6C43A67F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002A6C43A6850), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002A6C43A68B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002A6C43A69A0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6C43A6A30), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6C43A6AC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6C43A6B50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
