4270 MEMORY LEAK(S) DETECTED!
At address (000001FF098F2DE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F2EA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F2F60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3020), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F30E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F31A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3320), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F33E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F34A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3560), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3620), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F36E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F37A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3920), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F39E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3AA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3B60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3C20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3CE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3DA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3E60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3F20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F3FE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F40A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F4160), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F4220), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F42E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F43A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F4460), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F4520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F45E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F46A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F4760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F4820), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F48E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001FF098F4A30), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F4AC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F4B50), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F4C70), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F4D00), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F4D90), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F4E20), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F4EB0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F4F40), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F4FD0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F5060), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F50F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F5180), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F5210), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098F52A0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F5330), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F53C0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F5450), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F54E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F5570), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F5600), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F5690), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F5720), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F57B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F5840), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001FF098F58D0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001FF098F5960), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
