9811 MEMORY LEAK(S) DETECTED!
At address (000002889F5B3A80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3AF0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3B60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3BD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3C40), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3CB0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3D20), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3D90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3E00), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (000002889F5B3E70), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3EE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3FE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 90
At address (000002889F5B4090), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 87
At address (000002889F5B4350), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 89
At address (000002889F5B4610), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 110
At address (000002889F5B4770), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 110
At address (00000288A5B58820), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B588F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B589C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B58C30), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B58D00), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B58DD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B59040), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B591E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B592B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 81
